DATE,CBBTCUSD,SP500
2019-07-23,9833.19,3005.47
2019-07-24,9751.24,3019.56
2019-07-25,9880.67,3003.67
2019-07-26,9841.96,3025.86
2019-07-29,9503.32,3020.97
2019-07-30,9580.0,3013.18
2019-07-31,10099.0,2980.38
2019-08-01,10417.24,2953.56
2019-08-02,10533.07,2932.05
2019-08-05,11775.14,2844.74
2019-08-06,11440.08,2881.77
2019-08-07,12014.41,2883.98
2019-08-08,12017.89,2938.09
2019-08-09,11889.0,2918.65
2019-08-12,11387.38,2883.75
2019-08-13,10855.58,2926.32
2019-08-14,10105.34,2840.6
2019-08-15,10280.96,2847.6
2019-08-16,10368.83,2888.68
2019-08-19,10935.67,2923.65
2019-08-20,10770.99,2900.51
2019-08-21,10137.75,2924.43
2019-08-22,10088.89,2922.95
2019-08-23,10415.01,2847.11
2019-08-26,10373.75,2878.38
2019-08-27,10170.16,2869.16
2019-08-28,9710.38,2887.94
2019-08-29,9525.0,2924.58
2019-08-30,9580.6,2926.46
2019-09-02,10405.05,2911.3174
2019-09-03,10628.46,2906.27
2019-09-04,10585.67,2937.78
2019-09-05,10574.27,2976.0
2019-09-06,10318.8,2978.71
2019-09-09,10310.01,2978.43
2019-09-10,10090.01,2979.39
2019-09-11,10169.49,3000.93
2019-09-12,10437.19,3009.57
2019-09-13,10381.91,3007.39
2019-09-16,10268.77,2997.96
2019-09-17,10185.14,3005.7
2019-09-18,10155.26,3006.73
2019-09-19,10304.94,3006.79
2019-09-20,10168.44,2992.07
2019-09-23,9683.89,2991.78
2019-09-24,8556.43,2966.6
2019-09-25,8446.57,2984.87
2019-09-26,8063.0,2977.62
2019-09-27,8193.98,2961.79
2019-09-30,8305.14,2976.74
2019-10-01,8323.43,2940.25
2019-10-02,8396.0,2887.61
2019-10-03,8241.25,2910.63
2019-10-04,8159.71,2952.01
2019-10-07,8224.82,2938.79
2019-10-08,8186.73,2893.06
2019-10-09,8600.0,2919.4
2019-10-10,8589.01,2938.13
2019-10-11,8263.64,2970.27
2019-10-14,8363.0,2966.15
2019-10-15,8156.52,2995.68
2019-10-16,7993.0,2989.69
2019-10-17,8077.0,2997.95
2019-10-18,7954.16,2986.2
2019-10-21,8214.58,3006.72
2019-10-22,8008.04,2995.99
2019-10-23,7473.42,3004.52
2019-10-24,7439.29,3010.29
2019-10-25,8704.85,3022.55
2019-10-28,9221.96,3039.42
2019-10-29,9431.27,3036.89
2019-10-30,9175.77,3046.77
2019-10-31,9146.75,3037.56
2019-11-01,9268.0,3066.91
2019-11-04,9414.0,3078.27
2019-11-05,9314.99,3074.62
2019-11-06,9343.11,3076.78
2019-11-07,9196.71,3085.18
2019-11-08,8758.69,3093.08
2019-11-11,8720.61,3087.01
2019-11-12,8823.65,3091.84
2019-11-13,8765.61,3094.04
2019-11-14,8630.01,3096.63
2019-11-15,8460.0,3120.46
2019-11-18,8160.73,3122.03
2019-11-19,8123.36,3120.18
2019-11-20,8082.96,3108.46
2019-11-21,7618.76,3103.54
2019-11-22,7296.45,3110.29
2019-11-25,7125.0,3133.64
2019-11-26,7155.0,3140.52
2019-11-27,7539.4,3153.63
2019-11-28,7413.05,3147.305
2019-11-29,7751.29,3140.98
2019-12-02,7315.09,3113.87
2019-12-03,7296.0,3093.2
2019-12-04,7185.57,3112.76
